pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1514	5388	3443	3226	2022	1650	1021	798	497	192	211	35	5
home---secondary	4620	5525	1268	521	549	613	629	615	600	549	444	459	2384
home---work	10718	10842	4349	2982	2171	1868	2140	1684	1540	1288	1143	1005	3602
pt interaction---home	1492	5308	3497	3265	2007	1544	1028	852	512	192	233	34	7
pt interaction---pt interaction	21296	33540	4811	2393	1413	1117	756	381	311	346	604	497	1050
pt interaction---secondary	2264	2643	1295	807	591	454	199	69	37	46	23	2	0
pt interaction---work	2363	3567	1898	1375	1177	911	195	33	15	15	23	0	0
secondary---home	4558	5574	1517	494	451	553	578	592	609	559	441	453	2375
secondary---pt interaction	2352	2775	1124	793	599	467	160	74	31	44	31	2	0
work---home	9040	10625	5154	2729	1861	1714	1764	1625	1987	1958	1094	1071	4763
work---pt interaction	2415	3544	1779	1352	1325	846	191	21	11	12	23	0	0

average leg duration: 1044.3798697543982 seconds = 00:17:24
