pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1137	4063	2650	2502	1530	1230	739	555	363	140	147	26	4
home---secondary	5291	6190	1373	630	605	664	650	605	596	584	463	457	2377
home---work	9975	11115	4931	2955	2745	2502	2356	1700	1721	1592	1613	1506	3828
pt interaction---home	1125	4000	2696	2516	1531	1135	749	593	366	146	162	26	5
pt interaction---pt interaction	15594	24207	2854	1481	940	656	654	587	563	692	488	498	1622
pt interaction---secondary	1831	2106	1028	648	459	354	150	57	34	34	19	1	0
pt interaction---work	1705	2501	1395	1029	867	671	141	18	11	10	17	0	0
secondary---home	5249	6387	1756	526	488	548	563	566	568	548	425	455	2394
secondary---pt interaction	1895	2184	917	634	461	376	115	63	28	34	25	1	0
work---home	8778	9685	4919	3041	2677	2044	2231	1829	1692	1657	1467	1931	6636
work---pt interaction	1738	2469	1320	1007	979	615	142	14	9	7	17	0	0

average leg duration: 1174.7487078236861 seconds = 00:19:34
