pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2271	7563	4198	3408	1997	1520	1006	666	418	159	179	33	9
home---secondary	4874	6302	1376	602	538	454	431	460	406	331	246	209	1042
home---work	12865	12866	4960	2597	2377	1575	1259	906	753	681	539	500	1534
pt interaction---home	2210	7500	4273	3399	1980	1436	1018	704	434	161	191	33	11
pt interaction---pt interaction	26729	40676	4945	2151	1051	353	208	310	201	46	0	1	0
pt interaction---secondary	2895	3265	1458	863	582	496	195	80	34	41	24	2	0
pt interaction---work	3361	4629	2124	1335	1030	751	178	24	19	17	24	0	0
secondary---home	4692	6225	1745	545	505	445	430	463	407	333	250	208	1034
secondary---pt interaction	2935	3416	1280	855	590	504	158	85	28	43	27	2	0
work---home	10605	15012	6256	1839	1521	1282	1201	1304	1185	701	538	502	1531
work---pt interaction	3486	4529	2000	1305	1155	709	169	20	17	13	24	0	0

average leg duration: 746.8232024877686 seconds = 00:12:26
