pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1341	4986	3262	2958	1921	1661	1152	855	514	205	215	31	6
home---secondary	510	681	354	580	834	1202	1397	1588	1649	1610	1385	1363	7715
home---work	1583	1820	839	1197	2116	2751	3285	3591	3836	3780	3337	3231	12769
pt interaction---home	1337	4944	3305	2987	1878	1553	1147	917	538	206	234	27	9
pt interaction---pt interaction	23773	37718	4133	261	89	24	1	0	1	0	0	1	0
pt interaction---secondary	1694	1960	949	666	452	350	152	42	20	34	17	2	0
pt interaction---work	2748	3975	2027	1507	1234	948	231	38	20	19	22	0	0
secondary---home	488	666	393	572	832	1205	1394	1595	1651	1610	1387	1359	7700
secondary---pt interaction	1783	2086	802	642	458	338	124	46	16	38	19	2	0
work---home	1615	1723	901	1207	2127	2750	3290	3603	3863	3776	3334	3229	12758
work---pt interaction	2772	3985	1903	1457	1425	873	234	25	13	18	23	0	0

average leg duration: 1786.0550824125398 seconds = 00:29:46
