pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1962	6617	4201	3650	2362	1841	1218	901	559	222	242	40	8
home---secondary	4156	5167	1017	477	508	598	623	674	659	615	510	513	2418
home---work	12182	12202	2859	1241	1260	1302	1414	1348	1405	1333	1125	1071	3610
pt interaction---home	1899	6587	4287	3646	2333	1734	1236	964	570	219	264	38	10
pt interaction---pt interaction	27655	43710	5326	1308	1089	534	452	192	6	2	0	0	0
pt interaction---secondary	2485	2973	1386	923	616	479	198	92	34	46	37	2	0
pt interaction---work	3164	4638	2372	1641	1358	1019	247	30	27	29	27	0	0
secondary---home	4007	5043	1311	465	513	590	623	674	659	613	514	509	2411
secondary---pt interaction	2563	3108	1196	913	622	500	155	103	27	44	41	2	0
work---home	10489	13055	3171	1028	1648	1649	1440	1365	1429	1341	1121	1067	3588
work---pt interaction	3249	4600	2235	1585	1518	1002	224	23	23	24	30	0	0

average leg duration: 925.402564639451 seconds = 00:15:25
