pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	526	2144	1426	1276	844	757	503	413	234	82	91	17	6
home---secondary	275	376	319	622	924	1330	1626	1886	1957	2007	1696	1671	9455
home---work	763	1016	776	1312	2368	3173	3870	4308	4718	4741	4233	4020	16349
pt interaction---home	526	2101	1435	1308	836	694	517	453	243	79	98	16	8
pt interaction---pt interaction	12292	17009	1510	41	1	0	0	0	0	0	0	0	0
pt interaction---secondary	769	989	492	321	210	159	64	17	10	16	12	3	0
pt interaction---work	1088	1626	878	609	522	390	95	15	13	9	12	0	0
secondary---home	270	365	333	624	924	1334	1623	1891	1958	2006	1695	1667	9451
secondary---pt interaction	832	1020	411	319	214	161	48	17	7	17	16	3	0
work---home	778	946	833	1311	2366	3175	3877	4322	4730	4734	4232	4015	16335
work---pt interaction	1089	1648	831	567	605	377	90	12	11	9	11	0	0

average leg duration: 2432.3802073192214 seconds = 00:40:32
