pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1701	6122	3941	3641	2335	1849	1221	883	573	232	240	42	7
home---secondary	3967	4908	1020	448	496	618	673	739	742	714	598	566	2920
home---work	11754	11623	2746	1185	1177	1367	1468	1515	1523	1491	1343	1247	4475
pt interaction---home	1666	6057	4041	3605	2318	1731	1232	947	590	226	264	42	9
pt interaction---pt interaction	26638	42316	5090	1396	684	508	313	69	4	1	0	0	0
pt interaction---secondary	2340	2781	1330	865	613	480	202	75	33	52	25	1	0
pt interaction---work	2916	4362	2219	1693	1380	1077	246	36	24	16	21	0	0
secondary---home	3848	4807	1281	430	484	616	667	741	746	713	598	556	2905
secondary---pt interaction	2416	2902	1172	844	625	496	168	82	26	51	31	1	0
work---home	10191	12373	3017	989	1603	1675	1498	1539	1553	1493	1347	1253	4459
work---pt interaction	2951	4349	2075	1658	1534	1028	245	20	18	14	22	0	0

average leg duration: 998.7848593656494 seconds = 00:16:38
