pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	436	1788	1204	1119	739	682	455	376	218	97	84	11	3
home---secondary	250	342	318	637	925	1360	1661	1905	1974	2022	1737	1681	9611
home---work	806	1040	762	1307	2386	3236	3907	4401	4783	4815	4303	4058	16671
pt interaction---home	439	1754	1221	1134	732	626	447	416	228	91	95	9	4
pt interaction---pt interaction	10563	15093	1401	30	0	0	1	0	0	0	0	0	0
pt interaction---secondary	722	839	438	300	201	152	64	22	11	14	16	4	0
pt interaction---work	884	1370	711	529	454	356	84	11	10	11	9	0	0
secondary---home	244	339	328	633	925	1360	1659	1906	1973	2023	1735	1679	9608
secondary---pt interaction	768	898	368	288	206	143	56	22	9	14	18	4	0
work---home	807	989	811	1311	2389	3236	3905	4410	4798	4814	4301	4063	16668
work---pt interaction	900	1367	667	502	521	327	83	7	9	10	9	0	0

average leg duration: 2514.964232581205 seconds = 00:41:54
