pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1867	6498	4125	3694	2334	1847	1203	922	575	227	234	45	7
home---secondary	4072	5110	999	467	492	607	657	685	682	657	557	527	2497
home---work	12008	11896	2839	1114	1245	1351	1440	1395	1475	1407	1241	1118	3994
pt interaction---home	1834	6437	4193	3711	2313	1744	1225	979	586	225	255	43	8
pt interaction---pt interaction	27603	43319	5238	1270	973	600	409	156	2	1	0	0	0
pt interaction---secondary	2459	2943	1358	926	627	484	197	85	38	45	33	2	0
pt interaction---work	3101	4541	2319	1659	1379	1046	227	30	25	26	28	0	0
secondary---home	3931	4966	1320	449	481	614	649	687	681	656	561	521	2487
secondary---pt interaction	2532	3077	1185	911	632	501	155	96	29	48	35	2	0
work---home	10419	12648	3118	997	1656	1601	1460	1418	1498	1413	1233	1121	3972
work---pt interaction	3165	4550	2163	1604	1551	997	228	19	20	22	31	0	0

average leg duration: 950.3953791171903 seconds = 00:15:50
