pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2671	8109	3997	2995	1657	1219	830	558	319	119	164	22	6
home---secondary	5022	6655	1474	774	621	388	310	332	280	219	170	133	632
home---work	11448	11430	6043	4556	3330	2231	1366	1047	822	503	373	344	941
pt interaction---home	2579	8067	4082	2979	1658	1151	834	584	324	125	174	21	8
pt interaction---pt interaction	25851	36220	4709	2245	1779	618	307	218	126	64	13	0	0
pt interaction---secondary	3137	3424	1426	822	563	472	171	80	34	37	28	2	0
pt interaction---work	3515	4453	1830	1086	832	547	140	20	9	17	21	0	0
secondary---home	4820	6674	1937	646	541	348	300	322	277	229	174	131	625
secondary---pt interaction	3194	3552	1261	806	567	477	139	87	28	39	30	2	0
work---home	10148	14850	6952	3781	2525	1178	877	847	829	685	533	353	942
work---pt interaction	3607	4394	1703	1078	906	524	135	13	10	13	21	0	0

average leg duration: 706.9719594429 seconds = 00:11:46
