pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1814	6476	4127	3772	2471	2006	1333	989	629	279	258	38	10
home---secondary	3188	3820	813	445	542	707	799	837	890	844	685	651	3950
home---work	9442	9672	2021	875	1262	1568	1800	1881	1936	1916	1658	1537	6169
pt interaction---home	1789	6411	4235	3782	2428	1897	1333	1049	654	272	278	38	13
pt interaction---pt interaction	27146	44796	5801	1688	811	723	482	178	158	238	198	24	0
pt interaction---secondary	2398	2840	1339	959	633	485	209	79	29	38	26	0	0
pt interaction---work	3159	4618	2521	1823	1460	1160	292	55	28	25	26	0	0
secondary---home	3073	3767	1026	432	524	685	789	838	896	843	683	643	3933
secondary---pt interaction	2501	2973	1171	935	655	496	167	84	25	36	31	0	0
work---home	8607	9730	2629	989	1275	1598	1819	1909	1973	1915	1658	1540	6157
work---pt interaction	3166	4647	2359	1789	1658	1096	289	34	17	24	26	0	0

average leg duration: 1140.1315502402592 seconds = 00:19:00
