pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	696	2616	1693	1620	1028	941	573	474	260	124	101	27	9
home---secondary	300	431	323	632	905	1313	1585	1852	1916	1932	1652	1611	9137
home---work	807	1106	789	1289	2342	3127	3754	4198	4530	4598	4066	3885	15868
pt interaction---home	684	2569	1719	1620	1019	881	559	537	279	115	118	23	12
pt interaction---pt interaction	14274	20650	1801	42	1	0	0	0	0	0	0	0	1
pt interaction---secondary	974	1127	529	385	257	187	70	33	20	21	11	3	0
pt interaction---work	1344	2027	1073	757	664	489	135	23	14	8	11	0	0
secondary---home	297	398	361	628	902	1313	1582	1859	1912	1933	1653	1612	9131
secondary---pt interaction	1019	1186	462	372	254	192	49	38	15	22	13	3	0
work---home	885	1021	796	1291	2347	3128	3762	4208	4553	4604	4065	3884	15850
work---pt interaction	1358	2031	1006	725	772	439	135	14	12	7	11	0	0

average leg duration: 2303.9470717221666 seconds = 00:38:23
