pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	612	2411	1623	1477	944	858	568	462	253	117	96	21	4
home---secondary	254	389	335	629	917	1337	1605	1856	1921	1971	1660	1641	9308
home---work	810	1063	776	1308	2355	3117	3795	4234	4661	4672	4142	3900	16008
pt interaction---home	600	2349	1651	1494	935	797	552	514	267	114	108	18	8
pt interaction---pt interaction	13587	19252	1678	38	0	0	0	0	0	0	0	0	0
pt interaction---secondary	915	1051	530	353	222	169	68	30	13	16	13	3	0
pt interaction---work	1292	1829	982	708	633	441	127	16	13	8	14	0	0
secondary---home	281	345	354	627	917	1338	1604	1863	1920	1971	1661	1641	9304
secondary---pt interaction	956	1098	472	334	227	160	57	31	12	14	16	3	0
work---home	852	998	797	1307	2361	3121	3805	4242	4672	4675	4146	3897	16002
work---pt interaction	1304	1832	934	664	733	397	126	7	12	6	14	0	0

average leg duration: 2352.7186366343603 seconds = 00:39:12
