pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2529	7826	4058	3184	1811	1294	880	602	357	124	156	25	6
home---secondary	4968	6592	1454	772	559	409	332	359	340	235	176	155	779
home---work	11676	12687	5859	3862	2828	1743	1249	1019	768	550	417	371	1099
pt interaction---home	2464	7785	4138	3198	1773	1215	871	640	362	128	170	24	7
pt interaction---pt interaction	25920	37788	5091	2066	1417	431	245	175	217	160	45	0	0
pt interaction---secondary	3027	3338	1435	860	594	451	194	82	32	40	22	1	0
pt interaction---work	3433	4501	1898	1185	894	638	153	23	14	15	22	0	0
secondary---home	4780	6586	1864	644	503	395	325	356	337	238	180	157	777
secondary---pt interaction	3088	3466	1262	844	598	469	155	90	25	41	25	1	0
work---home	10273	14958	6453	3588	2057	1117	908	872	873	972	637	385	1099
work---pt interaction	3535	4420	1768	1181	996	606	146	15	12	11	22	0	0

average leg duration: 717.8676940313568 seconds = 00:11:57
