pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	412	1723	1157	1047	743	636	413	353	181	78	79	15	4
home---secondary	242	356	321	635	932	1378	1650	1925	2016	2043	1723	1722	9602
home---work	723	960	766	1312	2381	3249	3950	4441	4847	4831	4345	4069	16850
pt interaction---home	401	1696	1178	1058	730	572	412	389	193	75	84	15	5
pt interaction---pt interaction	10083	14568	1319	27	0	0	1	0	0	1	0	0	0
pt interaction---secondary	686	823	393	287	201	144	65	23	11	13	12	3	0
pt interaction---work	858	1267	659	519	430	323	82	14	7	6	15	0	0
secondary---home	235	354	331	639	935	1382	1650	1927	2016	2042	1723	1722	9599
secondary---pt interaction	724	861	336	266	210	143	50	22	9	14	13	3	0
work---home	741	904	805	1314	2387	3249	3947	4447	4858	4828	4345	4073	16849
work---pt interaction	849	1282	634	489	486	301	81	10	6	4	15	0	0

average leg duration: 2544.8948467296555 seconds = 00:42:24
