pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1633	6034	3902	3549	2339	1847	1189	891	541	238	233	37	8
home---secondary	3931	4950	1025	440	505	637	682	749	758	704	587	568	2992
home---work	11678	11580	2895	1241	1211	1339	1488	1502	1555	1503	1342	1245	4562
pt interaction---home	1610	5959	3997	3548	2304	1730	1202	940	554	238	255	38	9
pt interaction---pt interaction	26096	41311	4653	1797	827	555	370	147	12	1	0	0	0
pt interaction---secondary	2307	2750	1302	848	627	468	194	79	31	48	23	1	0
pt interaction---work	2827	4256	2197	1676	1397	1075	233	42	24	19	17	0	0
secondary---home	3850	4830	1302	406	479	632	676	750	764	703	586	557	2978
secondary---pt interaction	2392	2876	1127	831	636	481	163	84	26	46	30	1	0
work---home	10083	12254	3304	991	1484	1788	1557	1521	1581	1507	1344	1255	4544
work---pt interaction	2847	4246	2073	1627	1560	1020	239	23	20	19	17	0	0

average leg duration: 1011.3976850152693 seconds = 00:16:51
