pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1588	6040	3988	3668	2447	2039	1341	1056	646	286	281	41	9
home---secondary	912	1109	411	542	738	1070	1255	1408	1446	1397	1213	1209	6695
home---work	2666	2869	910	1128	1942	2495	2921	3150	3441	3303	2897	2726	10827
pt interaction---home	1585	5971	4025	3670	2398	1917	1343	1114	669	281	305	37	14
pt interaction---pt interaction	27235	44360	5638	1056	785	216	182	141	51	88	63	30	2
pt interaction---secondary	2065	2398	1182	810	549	431	207	67	31	39	20	2	0
pt interaction---work	3255	4821	2491	1861	1551	1203	311	62	22	26	26	0	0
secondary---home	887	1054	492	551	742	1076	1251	1410	1448	1398	1217	1203	6681
secondary---pt interaction	2167	2528	995	777	565	424	173	78	25	39	23	2	0
work---home	2731	2645	1060	1140	1955	2502	2929	3173	3473	3310	2905	2733	10815
work---pt interaction	3260	4868	2335	1793	1748	1113	312	38	15	24	27	0	0

average leg duration: 1564.8196258131916 seconds = 00:26:04
