pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2114	7159	4166	3584	2227	1645	1136	787	466	192	205	33	8
home---secondary	4622	5878	1189	504	531	514	530	537	492	436	342	319	1557
home---work	12798	12934	3945	1996	1858	1455	1169	1101	1016	972	775	758	2160
pt interaction---home	2079	7089	4236	3592	2203	1549	1137	846	470	195	225	33	10
pt interaction---pt interaction	27613	42864	5087	1839	920	431	347	224	9	0	0	0	0
pt interaction---secondary	2735	3171	1440	903	630	489	194	84	33	45	29	2	0
pt interaction---work	3317	4592	2255	1519	1151	841	207	28	16	20	21	0	0
secondary---home	4382	5775	1589	484	501	509	529	542	496	438	343	311	1549
secondary---pt interaction	2815	3311	1273	857	648	488	166	89	29	46	34	2	0
work---home	10518	14870	4709	1237	1462	1511	1723	1253	1039	980	780	764	2152
work---pt interaction	3374	4582	2124	1484	1259	812	208	12	14	16	21	0	0

average leg duration: 808.3553061639656 seconds = 00:13:28
