pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	501	1970	1342	1180	801	716	477	388	213	80	81	17	5
home---secondary	242	379	322	632	918	1356	1619	1884	1980	1985	1718	1694	9584
home---work	807	1043	792	1298	2401	3214	3869	4366	4696	4795	4218	4031	16496
pt interaction---home	496	1931	1356	1185	793	658	472	438	223	81	87	17	7
pt interaction---pt interaction	11347	15742	1332	31	1	0	0	0	0	0	0	0	0
pt interaction---secondary	745	904	453	304	206	157	64	20	14	13	10	3	0
pt interaction---work	1023	1472	793	605	489	353	101	21	8	7	6	0	0
secondary---home	267	339	343	633	919	1359	1617	1884	1981	1985	1716	1694	9578
secondary---pt interaction	788	938	385	300	215	153	52	21	10	15	11	3	0
work---home	868	943	830	1306	2405	3215	3871	4369	4710	4793	4220	4031	16490
work---pt interaction	1030	1467	745	580	567	332	98	14	7	7	6	0	0

average leg duration: 2479.4296048786923 seconds = 00:41:19
