pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2739	8295	3931	2886	1604	1128	812	537	328	117	148	22	8
home---secondary	4987	6687	1478	797	636	410	293	313	287	204	160	134	623
home---work	10835	11278	6087	4885	3598	2250	1537	1023	850	671	328	300	904
pt interaction---home	2680	8246	4034	2909	1584	1065	798	570	328	122	161	21	11
pt interaction---pt interaction	25646	35457	4967	2233	1746	627	291	234	176	43	25	11	0
pt interaction---secondary	3195	3511	1415	765	525	441	171	79	31	34	28	2	0
pt interaction---work	3570	4481	1762	1058	760	523	138	12	9	19	26	0	0
secondary---home	4780	6736	1966	662	555	352	275	302	278	204	160	133	621
secondary---pt interaction	3255	3624	1251	751	542	451	131	87	24	33	31	2	0
work---home	9738	14697	8041	3663	2585	1139	812	766	708	681	429	381	917
work---pt interaction	3703	4393	1660	1044	854	503	131	7	10	16	26	0	0

average leg duration: 704.2890398932434 seconds = 00:11:44
