pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1127	4301	2802	2580	1662	1447	954	742	477	176	199	29	6
home---secondary	402	526	368	612	860	1222	1464	1659	1734	1731	1453	1469	8182
home---work	1228	1450	801	1224	2182	2859	3469	3716	4051	4113	3614	3428	13791
pt interaction---home	1128	4247	2847	2606	1643	1329	939	794	490	176	216	26	8
pt interaction---pt interaction	21628	32758	2938	65	4	1	1	1	2	0	1	1	1
pt interaction---secondary	1448	1782	803	583	374	281	135	49	19	31	17	2	0
pt interaction---work	2313	3389	1745	1325	1075	815	225	33	24	17	17	0	0
secondary---home	394	526	378	605	858	1223	1464	1658	1739	1732	1456	1470	8175
secondary---pt interaction	1531	1852	684	574	379	280	106	52	16	35	17	2	0
work---home	1287	1333	857	1225	2190	2859	3473	3743	4079	4110	3611	3434	13782
work---pt interaction	2330	3417	1615	1270	1234	771	214	22	15	15	18	0	0

average leg duration: 1926.303772256857 seconds = 00:32:06
