pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	924	3126	2084	1845	1186	985	617	450	291	111	113	23	3
home---secondary	5446	6395	1382	599	593	652	676	711	706	681	587	535	3137
home---work	11388	12748	4406	3273	2928	2122	1736	1695	1928	1805	1458	1133	3632
pt interaction---home	892	3094	2129	1863	1182	918	605	476	293	112	123	23	5
pt interaction---pt interaction	13387	19051	2210	1017	771	622	448	330	231	341	242	67	598
pt interaction---secondary	1354	1610	779	503	355	275	115	52	25	23	14	1	0
pt interaction---work	1327	2026	1060	866	670	533	118	16	11	10	15	0	0
secondary---home	5399	6534	1697	485	504	568	625	690	674	672	588	527	3132
secondary---pt interaction	1390	1688	681	502	354	285	91	57	21	25	16	1	0
work---home	9768	11938	5765	3256	2789	1975	1750	1522	1678	1982	1445	1464	4968
work---pt interaction	1351	2009	1011	820	751	491	129	8	12	7	15	0	0

average leg duration: 1166.523652860507 seconds = 00:19:26
