pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1741	6023	3951	3655	2343	1926	1255	907	613	253	246	43	8
home---secondary	3662	4342	926	411	513	674	748	751	807	763	664	635	3472
home---work	10697	10656	2734	1185	1187	1382	1650	1602	1777	1729	1449	1372	5358
pt interaction---home	1705	5991	4044	3676	2327	1794	1258	958	632	250	270	43	10
pt interaction---pt interaction	25803	42226	5090	1455	1230	923	515	288	205	143	21	1	0
pt interaction---secondary	2316	2783	1349	894	633	480	202	78	36	40	26	1	0
pt interaction---work	2858	4330	2345	1738	1387	1093	265	40	26	21	23	0	0
secondary---home	3526	4278	1186	406	479	661	726	752	804	760	663	629	3453
secondary---pt interaction	2440	2914	1172	880	628	497	167	84	29	38	33	1	0
work---home	9403	10848	3255	993	1410	1776	1780	1634	1816	1738	1447	1374	5355
work---pt interaction	2926	4301	2203	1714	1573	1007	264	28	17	20	22	0	0

average leg duration: 1086.3467686154731 seconds = 00:18:06
