pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2505	7900	4047	3141	1820	1328	916	589	340	136	175	31	6
home---secondary	5003	6540	1474	725	575	404	335	368	337	228	177	160	732
home---work	11785	12203	5945	3794	2924	1894	1330	1167	715	513	429	398	1021
pt interaction---home	2441	7846	4147	3129	1794	1248	913	631	350	137	189	30	7
pt interaction---pt interaction	25804	37905	5122	2322	1389	552	318	208	225	142	28	3	0
pt interaction---secondary	3048	3387	1462	845	572	460	186	83	38	38	28	1	0
pt interaction---work	3464	4508	1871	1172	890	644	167	17	14	18	21	0	0
secondary---home	4783	6581	1876	618	508	375	317	364	345	236	184	162	730
secondary---pt interaction	3138	3509	1259	834	582	467	146	93	29	38	31	1	0
work---home	10185	14980	6965	3409	1924	1134	895	844	900	939	572	405	1017
work---pt interaction	3583	4401	1773	1156	998	604	156	14	16	13	21	0	0

average leg duration: 716.6870369470271 seconds = 00:11:56
