pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1543	5390	3488	3230	2023	1645	1025	793	503	184	196	37	5
home---secondary	4584	5398	1228	556	569	614	648	616	618	526	475	432	2469
home---work	10162	10847	4296	3058	2372	1907	2007	1842	1710	1336	1084	1065	3629
pt interaction---home	1505	5320	3542	3249	2013	1547	1029	844	515	185	218	34	9
pt interaction---pt interaction	20930	33053	4695	2636	1478	912	896	661	319	296	364	724	1514
pt interaction---secondary	2264	2644	1303	840	599	449	199	79	33	42	19	2	0
pt interaction---work	2370	3561	1909	1386	1177	908	195	33	13	15	22	0	0
secondary---home	4510	5490	1504	490	472	550	577	605	609	540	484	430	2462
secondary---pt interaction	2343	2773	1135	823	611	457	159	86	28	40	26	2	0
work---home	8742	10076	4887	2839	2117	1773	1762	1703	1850	1833	1554	1171	5070
work---pt interaction	2416	3540	1788	1356	1329	844	190	19	12	11	22	0	0

average leg duration: 1075.2865773024532 seconds = 00:17:55
