pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2309	7453	4191	3417	1981	1499	1013	689	420	155	182	32	7
home---secondary	4875	6297	1380	608	554	455	425	443	411	328	255	215	1009
home---work	12677	13109	5013	2564	2288	1713	1398	861	759	674	521	509	1421
pt interaction---home	2246	7404	4260	3421	1957	1408	1031	721	437	159	195	30	9
pt interaction---pt interaction	26643	40272	4882	2037	1293	413	224	283	209	106	1	1	0
pt interaction---secondary	2900	3274	1445	871	579	500	200	78	36	40	26	2	0
pt interaction---work	3332	4622	2094	1335	1005	749	183	20	16	16	25	0	0
secondary---home	4669	6241	1778	538	516	446	419	446	409	323	258	212	1003
secondary---pt interaction	2951	3429	1271	857	584	505	165	84	30	42	28	2	0
work---home	10477	15141	6240	2065	1505	1268	1186	1149	1346	739	528	515	1414
work---pt interaction	3444	4541	1963	1301	1122	721	169	17	14	14	25	0	0

average leg duration: 745.7299337248035 seconds = 00:12:25
