pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2776	8349	3872	2864	1576	1161	810	523	306	107	149	21	9
home---secondary	5015	6623	1520	778	609	400	290	334	269	203	161	122	547
home---work	10733	11358	5954	4998	3681	2343	1568	1136	880	537	337	307	884
pt interaction---home	2686	8324	3976	2833	1585	1084	810	563	309	111	159	20	11
pt interaction---pt interaction	25504	34894	4785	2210	1781	603	338	211	93	66	6	0	1
pt interaction---secondary	3259	3492	1437	802	553	435	183	84	30	33	24	3	0
pt interaction---work	3501	4440	1756	1021	737	526	148	15	11	11	22	0	0
secondary---home	4746	6734	1994	649	531	357	265	313	261	203	164	121	546
secondary---pt interaction	3318	3628	1258	786	561	454	141	93	23	30	27	3	0
work---home	9881	14842	7518	3927	2728	1178	905	829	731	610	407	312	887
work---pt interaction	3639	4328	1657	1017	816	499	142	9	12	8	22	0	0

average leg duration: 701.3789486299197 seconds = 00:11:41
