pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2731	8181	3996	2970	1602	1170	801	573	300	119	154	18	6
home---secondary	4979	6659	1479	779	626	393	291	346	305	219	172	137	605
home---work	10920	11832	5894	4752	3353	2277	1463	986	721	662	431	323	885
pt interaction---home	2651	8150	4104	2942	1607	1096	806	601	308	122	165	17	8
pt interaction---pt interaction	25198	35729	4961	2484	1448	607	298	241	141	50	35	2	0
pt interaction---secondary	3156	3464	1441	789	552	461	170	85	33	34	28	3	0
pt interaction---work	3535	4502	1752	1086	784	539	145	16	9	14	23	0	0
secondary---home	4800	6685	1973	639	548	348	267	320	294	219	172	136	600
secondary---pt interaction	3219	3593	1271	762	564	470	140	93	26	34	30	3	0
work---home	9867	14996	7369	3920	2403	1145	813	840	810	657	466	361	885
work---pt interaction	3657	4410	1667	1073	861	506	143	11	10	11	23	0	0

average leg duration: 705.1461849816592 seconds = 00:11:45
