pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1058	3953	2621	2391	1607	1367	926	691	466	172	168	36	6
home---secondary	377	492	340	609	871	1217	1482	1718	1765	1794	1474	1490	8380
home---work	1125	1348	786	1231	2211	2928	3486	3838	4179	4184	3741	3460	14122
pt interaction---home	1039	3922	2655	2430	1582	1266	923	761	475	174	182	32	9
pt interaction---pt interaction	20575	30480	2595	44	5	0	0	0	0	2	1	1	1
pt interaction---secondary	1378	1656	791	539	360	269	107	42	15	21	18	1	0
pt interaction---work	2144	3193	1613	1251	981	783	208	28	22	18	24	0	0
secondary---home	373	469	370	608	866	1214	1481	1719	1767	1792	1478	1492	8379
secondary---pt interaction	1448	1731	672	531	372	269	79	42	12	23	18	1	0
work---home	1139	1275	844	1236	2214	2927	3492	3850	4197	4176	3729	3462	14111
work---pt interaction	2175	3212	1521	1199	1142	727	198	21	16	15	26	0	0

average leg duration: 1986.4654914648231 seconds = 00:33:06
