pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	544	2147	1431	1304	862	758	475	391	237	78	86	15	4
home---secondary	265	351	317	625	926	1343	1618	1871	1972	2008	1682	1682	9475
home---work	775	982	772	1313	2376	3195	3848	4347	4715	4736	4214	3985	16385
pt interaction---home	542	2112	1434	1328	851	706	476	436	246	70	99	14	6
pt interaction---pt interaction	12112	17118	1464	41	1	1	0	0	0	1	0	0	0
pt interaction---secondary	809	987	463	334	193	155	67	23	9	15	14	2	0
pt interaction---work	1080	1588	850	664	527	403	104	19	10	7	9	0	0
secondary---home	247	349	334	625	923	1343	1617	1874	1972	2006	1681	1682	9471
secondary---pt interaction	869	1034	388	313	205	152	57	24	6	14	18	2	0
work---home	785	936	807	1313	2382	3198	3854	4358	4734	4734	4212	3980	16373
work---pt interaction	1074	1615	798	623	613	385	97	9	9	6	9	0	0

average leg duration: 2433.9799313575436 seconds = 00:40:33
