pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	502	1888	1281	1162	781	694	465	400	221	79	81	13	3
home---secondary	223	337	328	630	928	1354	1640	1918	1967	1994	1722	1670	9596
home---work	779	1041	778	1315	2389	3214	3866	4418	4808	4802	4290	3990	16543
pt interaction---home	496	1867	1294	1174	772	657	463	431	237	79	84	13	5
pt interaction---pt interaction	11160	15684	1416	33	0	0	0	1	0	0	0	0	0
pt interaction---secondary	763	956	432	305	203	130	55	22	9	13	9	2	0
pt interaction---work	952	1444	774	556	459	366	80	18	7	6	9	0	0
secondary---home	224	333	332	627	928	1360	1641	1915	1969	1993	1722	1669	9586
secondary---pt interaction	816	997	368	293	210	119	49	20	7	15	11	2	0
work---home	830	954	811	1322	2393	3213	3866	4419	4812	4799	4288	3991	16539
work---pt interaction	970	1451	726	527	531	348	83	11	4	7	9	0	0

average leg duration: 2487.7311155837774 seconds = 00:41:27
