pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2750	8275	3915	2876	1619	1141	798	532	311	112	145	24	7
home---secondary	4973	6667	1493	795	611	416	306	324	297	206	170	140	629
home---work	10692	11538	6084	5030	3485	2138	1538	987	894	663	344	331	854
pt interaction---home	2708	8222	4030	2865	1598	1074	796	560	317	114	156	23	9
pt interaction---pt interaction	25425	35388	4814	2260	1647	529	282	285	141	40	9	0	1
pt interaction---secondary	3150	3467	1415	780	560	453	171	85	31	36	29	2	0
pt interaction---work	3557	4467	1732	1068	756	547	133	16	12	14	24	0	0
secondary---home	4764	6695	1972	672	543	365	285	313	288	205	172	145	625
secondary---pt interaction	3202	3592	1238	778	566	466	134	92	25	35	32	2	0
work---home	9878	14915	7343	3550	2895	1246	853	860	739	625	459	373	858
work---pt interaction	3718	4356	1628	1057	839	524	129	11	13	11	24	0	0

average leg duration: 704.6941672710884 seconds = 00:11:44
