pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2401	7680	4195	3371	1906	1471	981	652	396	147	180	25	9
home---secondary	4997	6371	1361	628	563	442	406	428	365	300	221	192	883
home---work	12292	12793	5558	2932	2456	1695	1460	872	679	610	487	472	1233
pt interaction---home	2323	7618	4290	3379	1899	1369	980	696	404	149	195	24	10
pt interaction---pt interaction	26509	39928	5122	2250	1232	516	299	234	226	104	3	0	1
pt interaction---secondary	2924	3339	1448	882	586	488	200	76	35	42	26	3	0
pt interaction---work	3378	4675	2080	1286	1001	682	189	26	11	15	22	0	0
secondary---home	4662	6415	1807	558	510	423	385	435	377	299	226	190	880
secondary---pt interaction	3016	3442	1276	871	590	489	165	86	29	42	30	3	0
work---home	10603	15201	6532	2266	1520	1189	1070	1044	1208	767	496	480	1231
work---pt interaction	3516	4564	1974	1236	1102	665	178	17	12	11	22	0	0

average leg duration: 729.6155205666555 seconds = 00:12:09
