pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1627	5897	3955	3566	2422	2053	1333	1014	624	287	276	37	7
home---secondary	827	1044	411	546	747	1097	1270	1436	1485	1447	1200	1208	6808
home---work	2415	2694	903	1131	1963	2546	2960	3243	3436	3365	2965	2801	11064
pt interaction---home	1597	5857	3977	3605	2392	1927	1345	1066	641	285	301	36	11
pt interaction---pt interaction	26771	44093	5481	1182	598	162	163	198	70	55	60	7	0
pt interaction---secondary	2054	2344	1163	809	543	417	186	68	27	41	26	2	0
pt interaction---work	3253	4702	2452	1875	1517	1157	330	52	25	23	32	0	0
secondary---home	797	1005	482	547	747	1096	1263	1440	1485	1447	1202	1206	6797
secondary---pt interaction	2189	2453	982	784	551	409	157	74	22	40	29	2	0
work---home	2555	2436	1021	1133	1969	2550	2965	3259	3465	3374	2973	2804	11052
work---pt interaction	3234	4778	2299	1823	1717	1079	311	37	16	21	33	0	0

average leg duration: 1587.2716560140248 seconds = 00:26:27
