pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1083	4126	2688	2511	1635	1389	939	703	476	180	186	34	5
home---secondary	399	531	326	605	865	1224	1485	1677	1758	1763	1466	1498	8330
home---work	1175	1390	791	1230	2201	2894	3483	3783	4120	4119	3646	3470	13926
pt interaction---home	1079	4064	2749	2537	1603	1276	951	759	489	185	205	31	8
pt interaction---pt interaction	21080	31685	2725	49	2	1	0	0	1	0	1	0	1
pt interaction---secondary	1403	1659	800	556	370	276	113	40	19	24	17	2	0
pt interaction---work	2256	3313	1658	1311	1045	810	204	28	17	13	21	0	0
secondary---home	377	512	374	597	861	1222	1484	1681	1761	1762	1469	1497	8319
secondary---pt interaction	1483	1741	674	547	384	276	81	43	15	25	19	2	0
work---home	1249	1268	839	1232	2203	2894	3487	3795	4144	4118	3647	3468	13912
work---pt interaction	2265	3345	1564	1250	1206	762	192	19	10	13	22	0	0

average leg duration: 1957.081492317802 seconds = 00:32:37
