pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2359	7618	4202	3352	1982	1467	965	659	413	152	180	26	9
home---secondary	4904	6359	1367	621	560	422	409	460	387	341	228	210	964
home---work	12341	13031	5171	2912	2411	1732	1296	931	684	666	546	463	1310
pt interaction---home	2285	7570	4273	3361	1960	1370	981	696	420	156	196	24	11
pt interaction---pt interaction	26461	40077	5223	2338	1170	320	284	310	165	3	1	1	0
pt interaction---secondary	2901	3309	1443	850	583	501	204	78	35	41	27	2	0
pt interaction---work	3420	4623	2065	1294	1017	731	177	25	17	19	22	0	0
secondary---home	4675	6299	1773	574	521	413	396	468	391	340	232	208	960
secondary---pt interaction	2962	3413	1282	840	598	506	169	83	29	40	32	2	0
work---home	10453	15171	6520	2158	1557	1220	1166	1221	1076	689	548	468	1310
work---pt interaction	3532	4535	1951	1254	1127	707	172	19	13	15	22	0	0

average leg duration: 737.4215065577148 seconds = 00:12:17
