pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2763	8272	3875	2917	1604	1162	808	556	326	119	143	25	6
home---secondary	4994	6668	1498	787	632	397	281	318	292	190	187	116	605
home---work	10974	11425	5710	4717	3765	2264	1491	1109	864	597	425	328	900
pt interaction---home	2688	8213	4006	2917	1587	1083	810	589	327	124	154	23	9
pt interaction---pt interaction	25620	35384	4768	2127	1627	743	302	315	180	53	17	1	1
pt interaction---secondary	3186	3512	1423	785	553	437	172	77	36	33	25	2	0
pt interaction---work	3533	4471	1760	1047	796	525	143	15	10	17	18	0	0
secondary---home	4790	6677	1998	663	566	345	264	308	280	188	188	117	598
secondary---pt interaction	3265	3594	1262	772	562	450	140	88	29	32	28	2	0
work---home	9807	14698	7647	3508	2871	1209	841	815	732	697	446	412	914
work---pt interaction	3676	4368	1652	1053	867	502	136	12	10	13	18	0	0

average leg duration: 706.8365663141909 seconds = 00:11:46
