pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1719	6259	4100	3728	2511	2108	1388	1071	646	278	276	41	9
home---secondary	984	1238	414	524	735	1052	1217	1377	1404	1375	1180	1145	6506
home---work	2805	3201	986	1109	1867	2418	2866	3055	3299	3202	2862	2678	10477
pt interaction---home	1705	6169	4137	3754	2473	1978	1373	1133	668	273	303	36	14
pt interaction---pt interaction	27702	45421	6084	862	946	499	206	171	120	57	98	82	42
pt interaction---secondary	2136	2498	1228	803	558	462	203	72	30	38	25	2	0
pt interaction---work	3368	4988	2558	1892	1576	1235	321	60	22	28	31	0	0
secondary---home	981	1147	506	536	734	1051	1210	1389	1412	1376	1182	1140	6494
secondary---pt interaction	2222	2649	1032	769	569	457	173	84	25	37	29	2	0
work---home	3050	2879	1060	1118	1884	2427	2874	3082	3337	3208	2867	2685	10465
work---pt interaction	3399	5017	2376	1841	1767	1141	318	35	18	24	32	0	0

average leg duration: 1528.7066965780486 seconds = 00:25:28
