pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1667	6082	4045	3673	2510	2055	1343	1062	654	269	267	43	8
home---secondary	923	1108	436	539	737	1058	1247	1393	1444	1407	1213	1169	6595
home---work	2727	2949	944	1128	1890	2486	2902	3167	3410	3245	2868	2733	10714
pt interaction---home	1659	5984	4097	3698	2471	1948	1331	1117	688	258	295	39	12
pt interaction---pt interaction	27389	44695	5653	1032	882	278	199	196	58	80	79	51	31
pt interaction---secondary	2149	2440	1181	806	539	447	210	68	28	42	25	2	0
pt interaction---work	3292	4802	2553	1885	1556	1200	310	61	25	27	30	0	0
secondary---home	911	1051	515	540	737	1061	1242	1397	1449	1408	1212	1166	6583
secondary---pt interaction	2235	2587	992	769	554	446	178	78	22	41	30	2	0
work---home	2831	2681	1103	1135	1901	2490	2913	3189	3447	3254	2865	2729	10703
work---pt interaction	3300	4856	2389	1839	1750	1108	311	35	21	23	31	0	0

average leg duration: 1552.4582835221095 seconds = 00:25:52
