pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1919	6761	4530	4078	2611	2243	1514	1114	714	277	292	46	8
home---secondary	1933	2481	605	497	617	861	985	1077	1110	1069	884	880	5054
home---work	5892	6264	1252	964	1610	1943	2335	2425	2496	2558	2202	2058	7951
pt interaction---home	1858	6708	4590	4113	2579	2100	1505	1182	745	274	313	48	11
pt interaction---pt interaction	28666	48176	6323	1263	805	761	827	276	128	111	213	180	158
pt interaction---secondary	2460	2787	1443	918	647	498	219	79	31	47	23	1	0
pt interaction---work	3536	5171	2738	2020	1692	1325	332	49	26	27	38	0	0
secondary---home	1944	2336	746	492	620	862	973	1087	1111	1068	886	873	5037
secondary---pt interaction	2553	2971	1224	884	676	499	175	84	28	45	31	1	0
work---home	6069	5787	1562	957	1616	1947	2352	2445	2536	2563	2215	2059	7941
work---pt interaction	3572	5199	2552	1955	1917	1225	319	34	18	25	39	0	0

average leg duration: 1299.5695075266026 seconds = 00:21:39
