pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1368	4723	3019	2834	1779	1367	848	615	392	151	159	30	9
home---secondary	668	174	159	210	253	291	284	289	284	251	205	195	1146
home---work	6662	7171	3100	1863	1476	940	928	679	826	808	867	1003	3740
pt interaction---home	7	30	68	44	34	12	15	7	2	0	0	0	0
pt interaction---pt interaction	2542	4067	615	231	155	253	443	448	207	173	174	150	1264
pt interaction---secondary	385	517	254	117	86	67	13	2	2	1	0	0	0
pt interaction---work	1122	1743	980	711	651	432	114	9	3	5	3	0	0
secondary---home	200	139	165	181	227	273	268	271	266	239	197	177	977
secondary---pt interaction	415	535	282	115	96	78	17	2	2	2	0	0	0
work---home	417	480	497	296	446	479	528	484	530	487	387	400	1567
work---pt interaction	1148	1734	970	703	697	416	119	6	5	4	3	0	0

average leg duration: 2001.3944975014513 seconds = 00:33:21
