pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1958	6854	4215	3686	2331	1759	1177	861	525	234	222	37	9
home---secondary	4368	5402	1098	483	538	569	588	644	589	538	431	410	2119
home---work	12718	12654	3094	1396	1411	1277	1354	1298	1214	1157	984	883	3025
pt interaction---home	1911	6792	4309	3670	2290	1670	1191	906	539	238	246	34	13
pt interaction---pt interaction	27678	43777	4906	1464	870	738	516	223	21	2	0	0	0
pt interaction---secondary	2595	2998	1378	930	625	497	207	89	38	41	29	2	0
pt interaction---work	3211	4637	2376	1647	1289	943	225	34	26	23	28	0	0
secondary---home	4118	5355	1422	467	516	581	589	651	591	538	434	405	2109
secondary---pt interaction	2654	3148	1222	895	632	499	176	96	33	40	33	2	0
work---home	10374	14000	3625	1119	1513	1799	1490	1319	1240	1171	979	886	3010
work---pt interaction	3351	4557	2248	1576	1431	911	214	22	20	18	31	0	0

average leg duration: 879.325885197844 seconds = 00:14:39
