pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1669	6163	4065	3681	2497	2102	1415	1070	649	276	268	41	9
home---secondary	953	1188	412	538	722	1053	1255	1369	1450	1400	1195	1165	6562
home---work	2757	3096	956	1125	1906	2444	2875	3122	3344	3224	2854	2669	10571
pt interaction---home	1680	6058	4084	3707	2458	1978	1401	1131	676	264	298	37	13
pt interaction---pt interaction	27343	45262	5700	969	993	528	184	171	110	69	95	76	20
pt interaction---secondary	2138	2469	1185	797	548	452	198	70	25	39	22	1	0
pt interaction---work	3374	4901	2574	1882	1553	1204	328	61	23	28	33	0	0
secondary---home	919	1123	518	541	725	1054	1250	1374	1456	1402	1193	1160	6552
secondary---pt interaction	2217	2605	1002	772	563	449	168	77	21	38	26	1	0
work---home	2934	2778	1088	1138	1929	2457	2886	3142	3383	3229	2856	2678	10560
work---pt interaction	3411	4917	2405	1816	1737	1127	318	38	19	23	35	0	0

average leg duration: 1540.0979423729952 seconds = 00:25:40
