pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1849	6327	4060	3813	2414	1895	1254	915	608	235	234	49	8
home---secondary	4847	5718	1245	483	477	510	484	458	419	391	346	309	1660
home---work	11525	11512	4437	3034	1918	1669	1781	1342	1179	990	728	628	2359
pt interaction---home	1802	6268	4136	3825	2394	1788	1267	972	626	238	256	48	11
pt interaction---pt interaction	24656	39602	5777	2548	1614	1589	1089	446	337	476	756	482	1418
pt interaction---secondary	2619	3137	1494	933	687	538	244	84	41	50	29	3	0
pt interaction---work	2777	4233	2280	1659	1394	1117	234	36	20	20	32	0	0
secondary---home	4736	5746	1551	421	428	459	429	432	432	404	343	308	1659
secondary---pt interaction	2716	3266	1301	917	694	552	195	94	35	49	36	3	0
work---home	9887	11471	5327	2634	1725	1411	1414	1279	1655	1349	802	726	3451
work---pt interaction	2849	4224	2153	1623	1571	1038	226	21	17	19	32	0	0

average leg duration: 922.9593387827284 seconds = 00:15:22
