pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2625	7973	3950	3027	1686	1228	832	566	336	123	141	17	7
home---secondary	5077	6615	1481	775	625	391	332	345	286	247	171	153	644
home---work	11447	11714	6009	4285	3291	2162	1385	1162	803	571	365	340	923
pt interaction---home	2547	7921	4061	3030	1680	1161	829	599	340	124	153	16	9
pt interaction---pt interaction	25240	36444	4930	2239	1504	632	336	219	174	68	29	2	0
pt interaction---secondary	3096	3386	1413	816	554	454	164	83	34	37	26	1	0
pt interaction---work	3466	4473	1812	1109	826	556	140	11	15	18	21	0	0
secondary---home	4804	6699	1957	629	568	360	307	332	280	246	174	155	638
secondary---pt interaction	3162	3518	1240	794	555	470	131	90	28	38	30	1	0
work---home	10093	14936	7073	3574	2596	1179	818	807	817	762	489	424	923
work---pt interaction	3588	4374	1718	1098	908	537	129	9	17	13	22	0	0

average leg duration: 710.0644906637475 seconds = 00:11:50
