pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2060	7110	4238	3620	2262	1647	1164	817	468	205	214	32	8
home---secondary	4593	5784	1194	513	526	517	532	544	511	432	355	332	1614
home---work	12650	12804	3734	2101	1824	1476	1274	1133	1044	1005	801	737	2235
pt interaction---home	2031	7024	4319	3615	2242	1558	1151	874	473	208	236	32	10
pt interaction---pt interaction	27438	43005	5154	1933	1025	399	388	220	22	0	0	0	0
pt interaction---secondary	2714	3200	1441	909	617	490	196	84	36	47	24	1	0
pt interaction---work	3321	4616	2292	1539	1163	857	209	30	17	20	22	0	0
secondary---home	4399	5680	1573	485	499	506	526	548	519	433	354	325	1606
secondary---pt interaction	2778	3354	1264	873	633	485	167	89	31	47	31	1	0
work---home	10571	14607	4637	1220	1471	1472	1710	1350	1067	1014	803	741	2221
work---pt interaction	3377	4596	2152	1501	1275	833	217	16	15	15	23	0	0

average leg duration: 817.4545599176771 seconds = 00:13:37
