pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2181	7301	4189	3594	2133	1556	1076	709	462	180	201	26	8
home---secondary	4711	6107	1279	586	530	508	485	514	464	374	288	265	1255
home---work	12859	13026	4404	2294	2068	1582	1125	975	873	796	669	621	1836
pt interaction---home	2148	7229	4275	3575	2110	1454	1091	755	467	178	222	24	11
pt interaction---pt interaction	27302	41608	4621	2116	1227	415	336	264	119	2	1	0	0
pt interaction---secondary	2787	3178	1446	922	605	500	208	88	34	41	30	1	0
pt interaction---work	3297	4623	2213	1430	1113	839	180	28	16	15	22	0	0
secondary---home	4573	5963	1630	572	496	491	472	519	477	379	293	259	1247
secondary---pt interaction	2847	3325	1277	884	620	501	180	97	29	41	33	1	0
work---home	10620	14919	5350	1635	1512	1338	1412	1508	982	805	667	623	1829
work---pt interaction	3375	4539	2106	1403	1225	815	178	13	16	12	22	0	0

average leg duration: 778.1031064876988 seconds = 00:12:58
