pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2516	7945	4015	3091	1829	1297	889	594	363	137	149	30	9
home---secondary	5022	6561	1471	713	557	409	348	393	323	253	186	167	725
home---work	11564	12163	6156	3778	2785	1956	1524	969	719	720	410	385	989
pt interaction---home	2464	7880	4116	3086	1807	1218	883	636	363	141	164	28	11
pt interaction---pt interaction	25727	37362	5087	2340	1305	493	387	236	197	93	12	3	3
pt interaction---secondary	3025	3340	1460	846	563	467	188	84	34	43	27	1	0
pt interaction---work	3477	4493	1902	1180	891	621	155	15	14	18	20	0	0
secondary---home	4791	6584	1891	631	508	375	325	374	333	256	189	169	720
secondary---pt interaction	3090	3484	1279	824	568	473	149	93	27	42	30	1	0
work---home	10190	15120	6872	3440	1979	1110	909	907	946	883	430	390	991
work---pt interaction	3582	4405	1789	1174	982	592	152	13	14	13	21	0	0

average leg duration: 715.8444654959843 seconds = 00:11:55
