pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1584	5658	3584	3324	2153	1701	1141	826	544	217	204	41	4
home---secondary	4432	5254	1127	477	483	587	639	665	647	610	534	521	2713
home---work	11804	11522	3731	2028	1805	1629	1573	1300	1414	1344	1096	1081	4113
pt interaction---home	1565	5582	3651	3345	2124	1593	1148	877	564	219	226	40	5
pt interaction---pt interaction	23666	37150	4962	1901	968	501	725	409	302	421	289	179	119
pt interaction---secondary	2266	2711	1296	805	598	469	199	69	33	44	25	2	0
pt interaction---work	2476	3831	2062	1511	1283	998	198	33	18	22	32	0	0
secondary---home	4288	5229	1415	442	444	560	614	669	655	606	537	513	2707
secondary---pt interaction	2358	2814	1127	805	602	482	157	77	28	44	31	2	0
work---home	9801	12375	4259	1682	1422	1677	1657	1734	1555	1506	1426	1232	4166
work---pt interaction	2525	3826	1944	1474	1434	928	196	20	13	21	31	0	0

average leg duration: 1009.8607648403447 seconds = 00:16:49
