pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1055	3962	2604	2376	1595	1348	867	703	420	169	179	33	8
home---secondary	355	489	345	613	879	1235	1486	1698	1757	1800	1491	1505	8367
home---work	1079	1357	789	1241	2231	2930	3515	3841	4188	4140	3718	3505	14237
pt interaction---home	1046	3910	2655	2394	1574	1243	880	764	434	165	197	30	12
pt interaction---pt interaction	20458	30168	2618	55	5	1	3	0	0	0	1	2	0
pt interaction---secondary	1344	1602	802	560	373	285	116	44	18	21	18	3	0
pt interaction---work	2158	3178	1593	1226	956	748	190	27	15	18	24	0	0
secondary---home	344	479	369	608	880	1238	1485	1701	1756	1798	1493	1503	8362
secondary---pt interaction	1402	1690	689	554	379	285	89	44	13	23	19	3	0
work---home	1154	1241	829	1251	2238	2927	3521	3851	4204	4125	3711	3507	14231
work---pt interaction	2174	3206	1506	1180	1098	692	185	21	11	15	26	0	0

average leg duration: 1993.19935436281 seconds = 00:33:13
