pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1786	6242	4013	3708	2413	1981	1316	954	615	267	253	40	8
home---secondary	3416	4070	877	417	543	684	762	791	858	800	666	654	3762
home---work	10038	10144	2439	904	1213	1473	1768	1765	1864	1797	1540	1471	5798
pt interaction---home	1754	6176	4130	3721	2377	1856	1304	1016	641	266	269	39	11
pt interaction---pt interaction	26633	43363	5380	1622	962	1036	362	141	167	238	93	13	0
pt interaction---secondary	2347	2811	1337	913	616	491	207	82	35	40	26	1	0
pt interaction---work	3016	4493	2452	1760	1438	1125	281	50	26	25	24	0	0
secondary---home	3284	4028	1101	406	519	674	749	796	860	800	666	647	3747
secondary---pt interaction	2442	2941	1156	902	625	505	171	86	30	38	32	1	0
work---home	8991	10279	2763	1085	1530	1544	1790	1791	1903	1799	1541	1471	5786
work---pt interaction	3070	4472	2303	1729	1640	1032	288	32	19	22	24	0	0

average leg duration: 1116.3861015755656 seconds = 00:18:36
