pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2028	6946	4174	3622	2274	1662	1172	827	520	208	219	36	9
home---secondary	4480	5650	1141	525	535	559	586	598	557	473	378	352	1782
home---work	12713	12921	3430	1804	1638	1400	1271	1213	1107	1039	889	803	2569
pt interaction---home	1973	6918	4236	3628	2222	1569	1167	884	533	210	246	36	12
pt interaction---pt interaction	27317	43111	5196	1591	868	472	442	160	50	0	0	0	0
pt interaction---secondary	2675	3074	1427	892	617	501	207	83	37	46	29	2	0
pt interaction---work	3258	4548	2283	1580	1202	902	232	37	16	20	29	0	0
secondary---home	4271	5553	1513	486	512	565	586	595	565	475	377	351	1772
secondary---pt interaction	2709	3259	1245	866	625	507	176	87	31	47	31	2	0
work---home	10511	14525	4093	1154	1489	1629	1740	1292	1136	1043	888	803	2552
work---pt interaction	3303	4520	2159	1546	1340	871	230	19	16	15	30	0	0

average leg duration: 842.6619260545939 seconds = 00:14:02
