pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1913	6674	4410	3983	2683	2199	1449	1079	696	274	291	52	8
home---secondary	1574	1878	547	504	682	940	1095	1173	1255	1215	1008	985	5620
home---work	4570	4994	1101	1043	1695	2128	2509	2639	2805	2738	2459	2296	8946
pt interaction---home	1855	6661	4447	4024	2621	2077	1434	1155	742	260	319	51	12
pt interaction---pt interaction	28658	47971	6213	1333	731	784	550	240	119	156	123	92	87
pt interaction---secondary	2303	2707	1320	883	609	493	230	81	28	46	30	0	0
pt interaction---work	3546	5219	2730	2022	1707	1325	300	63	24	18	27	0	0
secondary---home	1473	1864	668	505	675	944	1085	1174	1258	1217	1010	978	5601
secondary---pt interaction	2422	2855	1124	848	634	490	188	88	24	44	37	0	0
work---home	4775	4528	1348	1043	1716	2144	2517	2645	2835	2747	2468	2304	8930
work---pt interaction	3630	5256	2530	1931	1918	1229	308	42	15	18	27	0	0

average leg duration: 1381.1816394148302 seconds = 00:23:01
