pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2637	8016	4012	3034	1689	1221	834	579	332	124	157	21	8
home---secondary	5042	6648	1471	778	604	397	322	327	294	216	165	146	644
home---work	11532	11861	6130	4336	3062	2030	1383	1053	815	513	370	371	936
pt interaction---home	2552	7976	4122	3036	1678	1127	836	616	335	125	173	21	9
pt interaction---pt interaction	25508	36432	5069	2325	1704	667	307	231	201	60	35	1	0
pt interaction---secondary	3111	3417	1420	809	556	485	185	75	34	32	26	2	0
pt interaction---work	3483	4457	1850	1124	818	570	146	14	13	15	22	0	0
secondary---home	4800	6663	1958	644	544	360	300	320	297	221	171	144	638
secondary---pt interaction	3163	3541	1259	804	565	486	154	83	28	34	27	2	0
work---home	9902	14458	7173	3880	2573	1172	900	904	878	714	557	397	936
work---pt interaction	3588	4389	1732	1118	909	528	139	11	13	11	22	0	0

average leg duration: 710.5386602803902 seconds = 00:11:50
