pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2827	8398	3847	2824	1586	1129	810	524	319	112	141	21	6
home---secondary	4960	6651	1474	802	628	383	307	306	267	176	169	141	595
home---work	10320	10824	6292	5084	3762	2570	1664	1107	933	590	352	306	903
pt interaction---home	2731	8364	3976	2822	1571	1059	803	559	325	112	153	19	9
pt interaction---pt interaction	25836	35072	4854	2216	1423	566	376	193	108	76	14	3	2
pt interaction---secondary	3238	3550	1429	793	550	448	168	73	31	35	30	2	0
pt interaction---work	3547	4448	1751	1005	733	518	135	14	12	13	21	0	0
secondary---home	4705	6751	1964	650	545	354	276	285	260	178	169	139	591
secondary---pt interaction	3267	3695	1268	781	557	462	133	82	26	35	31	2	0
work---home	9913	14853	7723	3840	2666	1124	886	797	688	597	425	319	908
work---pt interaction	3659	4364	1656	998	816	483	136	11	11	10	21	0	0

average leg duration: 703.4531805666078 seconds = 00:11:43
