pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1479	5140	3291	3039	1953	1518	962	756	455	181	188	34	9
home---secondary	4870	5651	1297	576	623	607	627	558	569	504	427	393	2070
home---work	9203	9742	5113	3026	2596	2029	2407	1978	1658	1573	1472	1449	4087
pt interaction---home	1440	5091	3311	3062	1949	1429	972	799	468	182	208	33	13
pt interaction---pt interaction	18625	30145	4227	2417	1337	1001	779	783	777	709	834	882	2928
pt interaction---secondary	2224	2653	1312	831	592	461	186	76	32	44	21	2	0
pt interaction---work	2155	3278	1703	1284	1067	826	183	22	11	17	25	0	0
secondary---home	4820	5819	1645	510	499	532	552	521	520	459	409	376	2094
secondary---pt interaction	2314	2773	1146	815	600	476	144	85	26	44	25	2	0
work---home	8095	8427	4447	2597	2591	2231	2025	1923	1689	1740	1565	1760	7307
work---pt interaction	2193	3269	1612	1234	1196	766	171	16	10	15	25	0	0

average leg duration: 1174.2556898087812 seconds = 00:19:34
