pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2732	8221	3925	2900	1581	1174	799	522	320	118	141	22	8
home---secondary	4994	6648	1493	808	617	397	298	328	295	191	181	129	616
home---work	10849	11599	6088	4982	3515	2261	1325	962	905	557	368	329	912
pt interaction---home	2668	8143	4053	2916	1564	1085	803	559	323	121	154	21	10
pt interaction---pt interaction	25425	35359	4829	2154	1722	714	297	225	127	50	14	14	1
pt interaction---secondary	3189	3469	1444	791	533	438	170	79	34	35	27	2	0
pt interaction---work	3553	4420	1747	1044	761	524	140	18	10	15	20	0	0
secondary---home	4747	6697	1999	665	549	351	279	320	288	193	185	129	610
secondary---pt interaction	3250	3578	1274	775	548	456	133	87	27	33	31	2	0
work---home	9763	14836	7496	3752	2728	1224	811	833	752	697	480	394	912
work---pt interaction	3651	4351	1666	1032	832	503	139	9	11	12	20	0	0

average leg duration: 705.8172049825021 seconds = 00:11:45
