pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1962	6825	4508	4062	2669	2285	1496	1068	718	283	275	40	7
home---secondary	1817	2264	585	484	646	868	975	1106	1146	1118	913	909	5238
home---work	5506	5835	1208	986	1625	1981	2370	2510	2595	2581	2279	2130	8237
pt interaction---home	1884	6784	4551	4106	2616	2143	1503	1142	750	275	302	41	10
pt interaction---pt interaction	28890	48805	6168	1197	807	729	862	287	112	167	186	69	70
pt interaction---secondary	2447	2799	1416	938	622	503	232	70	36	46	27	1	0
pt interaction---work	3566	5169	2780	2001	1693	1381	331	53	23	27	37	0	0
secondary---home	1818	2161	701	489	638	867	969	1114	1150	1115	915	904	5225
secondary---pt interaction	2528	2979	1216	891	659	504	171	83	30	44	34	1	0
work---home	5728	5339	1492	986	1630	1990	2376	2525	2637	2585	2293	2135	8221
work---pt interaction	3649	5188	2573	1934	1903	1276	331	32	15	29	37	0	0

average leg duration: 1319.7286304447769 seconds = 00:21:59
