pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1688	6030	3921	3579	2339	1838	1205	864	562	240	229	37	6
home---secondary	3954	4945	1004	453	486	625	697	752	765	721	604	587	2962
home---work	11666	11570	2783	1251	1199	1363	1461	1519	1530	1528	1345	1246	4556
pt interaction---home	1637	5992	4013	3555	2317	1728	1205	933	577	236	251	38	7
pt interaction---pt interaction	26276	41741	4820	1578	907	551	309	58	0	1	0	0	0
pt interaction---secondary	2312	2744	1292	859	613	452	196	75	34	49	24	1	0
pt interaction---work	2853	4328	2228	1696	1387	1056	237	38	22	21	21	0	0
secondary---home	3835	4825	1301	428	463	621	697	751	770	719	603	577	2947
secondary---pt interaction	2375	2890	1121	846	613	467	169	82	27	47	31	1	0
work---home	10095	12280	3156	974	1579	1734	1501	1544	1555	1526	1350	1253	4537
work---pt interaction	2897	4305	2097	1659	1535	1007	240	19	19	20	22	0	0

average leg duration: 1007.4637497927375 seconds = 00:16:47
