pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2644	8175	3969	2959	1630	1196	814	553	325	119	162	22	6
home---secondary	4921	6706	1495	789	626	379	296	332	313	245	168	152	588
home---work	10936	11824	5935	4622	3623	2063	1429	1066	731	702	335	326	934
pt interaction---home	2563	8154	4055	2946	1620	1123	801	594	338	117	173	23	8
pt interaction---pt interaction	25244	35876	5054	2363	1393	529	303	242	205	76	12	1	1
pt interaction---secondary	3159	3444	1428	806	555	448	182	75	39	33	25	2	0
pt interaction---work	3485	4426	1818	1074	825	557	138	14	9	12	20	0	0
secondary---home	4771	6684	1959	659	550	340	287	329	298	240	175	148	583
secondary---pt interaction	3219	3570	1260	795	560	458	142	86	32	31	28	2	0
work---home	10060	14633	7544	3467	2711	1161	875	870	795	727	438	358	933
work---pt interaction	3590	4331	1727	1081	905	522	128	9	9	9	21	0	0

average leg duration: 706.8923677479199 seconds = 00:11:46
