pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1482	5156	3310	3059	1960	1524	972	754	462	182	191	35	8
home---secondary	4822	5615	1284	568	633	619	629	572	567	521	420	394	2119
home---work	9197	9913	4943	2862	2668	2269	2565	1771	1670	1613	1455	1352	3974
pt interaction---home	1441	5108	3328	3084	1953	1437	977	797	477	184	211	33	13
pt interaction---pt interaction	18849	30437	4179	2344	1381	1065	767	789	782	738	821	790	2750
pt interaction---secondary	2231	2651	1310	835	590	463	187	78	32	44	20	2	0
pt interaction---work	2165	3300	1723	1294	1074	834	185	23	11	17	26	0	0
secondary---home	4777	5776	1625	514	499	535	554	523	526	474	415	375	2155
secondary---pt interaction	2320	2771	1147	816	598	480	143	87	26	44	24	2	0
work---home	8122	8522	4434	2659	2540	2357	1857	1833	1685	1774	1592	1693	7251
work---pt interaction	2204	3292	1624	1248	1203	773	174	16	10	15	26	0	0

average leg duration: 1168.5592464620474 seconds = 00:19:28
