pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1891	6637	4339	3944	2531	2179	1432	1052	698	288	279	38	8
home---secondary	2539	3155	691	453	575	782	863	958	988	949	799	809	4434
home---work	7745	8154	1477	893	1409	1760	2067	2148	2217	2205	1946	1756	7022
pt interaction---home	1853	6572	4431	3939	2508	2073	1410	1114	733	288	301	39	8
pt interaction---pt interaction	28233	47002	6078	1292	797	677	616	229	137	130	255	125	0
pt interaction---secondary	2492	2879	1395	937	616	501	215	81	31	38	25	1	0
pt interaction---work	3310	4871	2627	1956	1615	1288	301	45	30	26	36	0	0
secondary---home	2544	2974	888	449	571	768	851	967	991	950	803	802	4414
secondary---pt interaction	2579	3049	1200	916	636	499	171	90	27	36	30	1	0
work---home	7513	7926	1925	879	1419	1773	2085	2171	2259	2206	1943	1758	7011
work---pt interaction	3308	4955	2452	1890	1831	1198	291	30	19	26	36	0	0

average leg duration: 1213.5747660787972 seconds = 00:20:13
