pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	972	3636	2394	2187	1457	1265	866	673	358	153	170	26	7
home---secondary	356	468	326	611	889	1250	1519	1770	1786	1829	1509	1513	8636
home---work	1027	1297	813	1256	2250	2965	3568	3948	4289	4268	3805	3583	14415
pt interaction---home	976	3590	2415	2222	1429	1188	856	730	379	148	181	26	9
pt interaction---pt interaction	19185	28295	2390	51	2	0	1	0	0	0	1	0	0
pt interaction---secondary	1233	1510	740	493	320	232	116	34	19	26	18	3	0
pt interaction---work	1978	2948	1502	1092	899	729	191	28	21	14	18	0	0
secondary---home	317	479	359	607	893	1251	1511	1775	1785	1827	1509	1511	8633
secondary---pt interaction	1309	1581	629	476	329	231	89	41	16	26	19	3	0
work---home	1094	1191	849	1268	2250	2957	3576	3955	4304	4264	3808	3584	14404
work---pt interaction	1990	2968	1438	1044	1041	667	188	20	13	13	18	0	0

average leg duration: 2054.572491053242 seconds = 00:34:14
