pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1911	6659	4378	4028	2614	2203	1458	1054	677	294	303	55	8
home---secondary	1508	1859	543	512	669	944	1093	1183	1255	1233	1037	1023	5658
home---work	4428	4810	1091	1044	1725	2131	2546	2671	2838	2800	2506	2304	9057
pt interaction---home	1860	6629	4432	4045	2582	2076	1452	1128	716	281	328	52	12
pt interaction---pt interaction	28730	48112	6075	1363	744	836	414	228	154	214	95	96	88
pt interaction---secondary	2309	2704	1300	864	612	500	217	77	28	49	28	1	0
pt interaction---work	3536	5221	2748	2003	1670	1320	312	58	31	21	33	0	0
secondary---home	1460	1801	661	509	663	942	1084	1184	1255	1231	1040	1014	5640
secondary---pt interaction	2414	2837	1122	852	633	493	179	84	23	46	38	1	0
work---home	4634	4352	1327	1047	1751	2142	2554	2680	2867	2810	2516	2310	9043
work---pt interaction	3604	5248	2538	1938	1878	1233	317	42	18	21	34	0	0

average leg duration: 1389.4777628471904 seconds = 00:23:09
